Instance,Configuration,Seed,Target,BestSol,TimeMS,Iteration
instance_n200_sd04_2,PP3,0,null,47,32,0
instance_n200_sd04_2,PP4,0,null,47,31,0
instance_n200_sd04_3,PP1,0,null,47,31,0
instance_n200_sd04_3,PP3,0,null,47,31,0
instance_n200_sd04_3,PP2,0,null,47,31,0
instance_n200_sd04_3,PP4,0,null,47,32,0
instance_n200_sd04_4,PP1,0,null,49,33,0
instance_n200_sd04_4,PP2,0,null,49,32,0
instance_n200_sd04_4,PP3,0,null,49,34,0
instance_n200_sd04_4,PP4,0,null,49,37,0
instance_n200_sd06_0,PP2,0,null,63,44,0
instance_n200_sd06_0,PP2,0,null,64,9850,30000
instance_n200_sd06_0,PP1,0,null,63,48,0
instance_n200_sd06_0,PP1,0,null,64,9987,30000
instance_n200_sd06_0,PP3,0,null,63,58,0
instance_n200_sd06_0,PP3,0,null,64,9817,30000
instance_n200_sd06_0,PP4,0,null,63,44,0
instance_n200_sd06_0,PP4,0,null,64,10222,30000
instance_n200_sd06_1,PP1,0,null,70,42,0
instance_n200_sd06_1,PP1,0,null,71,43,2
instance_n200_sd06_1,PP1,0,null,72,45,5
instance_n200_sd06_1,PP2,0,null,70,44,0
instance_n200_sd06_1,PP2,0,null,71,46,2
instance_n200_sd06_1,PP2,0,null,72,48,5
instance_n200_sd06_1,PP3,0,null,70,44,0
instance_n200_sd06_1,PP3,0,null,71,46,2
instance_n200_sd06_1,PP3,0,null,72,48,5
instance_n200_sd06_1,PP4,0,null,70,44,0
instance_n200_sd06_1,PP4,0,null,71,46,2
instance_n200_sd06_1,PP4,0,null,72,48,5
instance_n200_sd06_2,PP1,0,null,68,44,0
instance_n200_sd06_2,PP2,0,null,68,59,0
instance_n200_sd06_2,PP3,0,null,68,43,0
instance_n200_sd06_2,PP4,0,null,68,45,0
instance_n200_sd06_4,PP1,0,null,58,39,0
instance_n200_sd06_4,PP1,0,null,59,54,26
instance_n200_sd06_4,PP1,0,null,60,55,27
instance_n200_sd06_4,PP1,0,null,61,70,54
instance_n200_sd06_4,PP3,0,null,58,41,0
instance_n200_sd06_4,PP3,0,null,59,75,26
instance_n200_sd06_4,PP3,0,null,60,77,27
instance_n200_sd06_4,PP3,0,null,61,95,54
instance_n200_sd06_4,PP2,0,null,58,38,0
instance_n200_sd06_4,PP2,0,null,59,53,26
instance_n200_sd06_4,PP2,0,null,60,54,27
instance_n200_sd06_4,PP2,0,null,61,70,54
instance_n200_sd06_4,PP4,0,null,58,41,0
instance_n200_sd06_4,PP4,0,null,59,55,26
instance_n200_sd06_4,PP4,0,null,60,56,27
instance_n200_sd06_4,PP4,0,null,61,74,54
instance_n200_sd06_3,PP1,0,null,53,38,0
instance_n200_sd06_3,PP2,0,null,53,38,0
instance_n200_sd06_3,PP3,0,null,53,39,0
instance_n200_sd06_3,PP4,0,null,53,55,0
